_previousMonth,_previousYear,Date,Investment Value,Type of structure,_valueConnector,Dollars
2017-09-01,2016-10-01,2017-10-01,Seasonally adjusted - current,Total institutional and governmental,5505678,5505678
2017-09-01,2016-10-01,2017-10-01,Seasonally adjusted - current,Total residential,115712881,115712881
2017-09-01,2016-10-01,2017-10-01,Unadjusted - constant,Total commercial,22762059,22762059
2017-09-01,2016-10-01,2017-10-01,Unadjusted - constant,Total industrial,2278746,2278746
2017-09-01,2016-10-01,2017-10-01,Unadjusted - constant,Total institutional and governmental,5502185,5502185
2017-09-01,2016-10-01,2017-10-01,Unadjusted - constant,Total residential,116179534,116179534
2017-09-01,2016-10-01,2017-10-01,Unadjusted - current,Total commercial,24672660,24672660
2017-09-01,2016-10-01,2017-10-01,Unadjusted - current,Total industrial,2466928,2466928
2017-09-01,2016-10-01,2017-10-01,Unadjusted - current,Total institutional and governmental,5904517,5904517
2017-09-01,2016-10-01,2017-10-01,Unadjusted - current,Total residential,126476987,126476987
2017-10-01,2016-11-01,2017-11-01,Seasonally adjusted - constant,Total commercial,21953005,21953005
2017-10-01,2016-11-01,2017-11-01,Seasonally adjusted - constant,Total industrial,2373058,2373058
2017-10-01,2016-11-01,2017-11-01,Seasonally adjusted - constant,Total institutional and governmental,5014013,5014013
2017-10-01,2016-11-01,2017-11-01,Seasonally adjusted - constant,Total residential,114855460,114855460
2017-10-01,2016-11-01,2017-11-01,Seasonally adjusted - current,Total commercial,23810822,23810822
2017-10-01,2016-11-01,2017-11-01,Seasonally adjusted - current,Total industrial,2571024,2571024
2017-10-01,2016-11-01,2017-11-01,Seasonally adjusted - current,Total institutional and governmental,5381912,5381912
2017-10-01,2016-11-01,2017-11-01,Seasonally adjusted - current,Total residential,125196151,125196151
2017-10-01,2016-11-01,2017-11-01,Unadjusted - constant,Total commercial,22893758,22893758
2017-10-01,2016-11-01,2017-11-01,Unadjusted - constant,Total industrial,2374755,2374755
2017-10-01,2016-11-01,2017-11-01,Unadjusted - constant,Total institutional and governmental,5091107,5091107
2017-10-01,2016-11-01,2017-11-01,Unadjusted - constant,Total residential,120374770,120374770
2017-10-01,2016-11-01,2017-11-01,Unadjusted - current,Total commercial,24816073,24816073
2017-10-01,2016-11-01,2017-11-01,Unadjusted - current,Total industrial,2571024,2571024
2017-10-01,2016-11-01,2017-11-01,Unadjusted - current,Total institutional and governmental,5463380,5463380
2017-10-01,2016-11-01,2017-11-01,Unadjusted - current,Total residential,131048037,131048037
2017-11-01,2016-12-01,2017-12-01,Seasonally adjusted - constant,Total commercial,21825118,21825118
2017-11-01,2016-12-01,2017-12-01,Seasonally adjusted - constant,Total industrial,2259086,2259086
2017-11-01,2016-12-01,2017-12-01,Seasonally adjusted - constant,Total institutional and governmental,5245180,5245180
2017-11-01,2016-12-01,2017-12-01,Seasonally adjusted - constant,Total residential,111889859,111889859
2017-11-01,2016-12-01,2017-12-01,Seasonally adjusted - current,Total commercial,23720171,23720171
2017-11-01,2016-12-01,2017-12-01,Seasonally adjusted - current,Total industrial,2451391,2451391
2017-11-01,2016-12-01,2017-12-01,Seasonally adjusted - current,Total institutional and governmental,5639393,5639393
2017-11-01,2016-12-01,2017-12-01,Seasonally adjusted - current,Total residential,122288932,122288932
2017-11-01,2016-12-01,2017-12-01,Unadjusted - constant,Total commercial,22954736,22954736
2017-11-01,2016-12-01,2017-12-01,Unadjusted - constant,Total industrial,2264896,2264896
2017-11-01,2016-12-01,2017-12-01,Unadjusted - constant,Total institutional and governmental,4900885,4900885
2017-11-01,2016-12-01,2017-12-01,Unadjusted - constant,Total residential,107949696,107949696
2017-11-01,2016-12-01,2017-12-01,Unadjusted - current,Total commercial,24884568,24884568
2017-11-01,2016-12-01,2017-12-01,Unadjusted - current,Total industrial,2451391,2451391
2017-11-01,2016-12-01,2017-12-01,Unadjusted - current,Total institutional and governmental,5259249,5259249
2017-11-01,2016-12-01,2017-12-01,Unadjusted - current,Total residential,117516904,117516904
2017-12-01,2017-01-01,2018-01-01,Seasonally adjusted - constant,Total commercial,22783271,22783271
2017-12-01,2017-01-01,2018-01-01,Seasonally adjusted - constant,Total industrial,1970344,1970344
2017-12-01,2017-01-01,2018-01-01,Seasonally adjusted - constant,Total institutional and governmental,4766080,4766080
2017-12-01,2017-01-01,2018-01-01,Seasonally adjusted - constant,Total residential,107357860,107357860
2017-12-01,2017-01-01,2018-01-01,Seasonally adjusted - current,Total commercial,24816131,24816131
2017-12-01,2017-01-01,2018-01-01,Seasonally adjusted - current,Total industrial,2142273,2142273
2017-12-01,2017-01-01,2018-01-01,Seasonally adjusted - current,Total institutional and governmental,5147087,5147087
2017-12-01,2017-01-01,2018-01-01,Seasonally adjusted - current,Total residential,118097871,118097871
2017-12-01,2017-01-01,2018-01-01,Unadjusted - constant,Total commercial,23133374,23133374
2017-12-01,2017-01-01,2018-01-01,Unadjusted - constant,Total industrial,2104113,2104113
2017-12-01,2017-01-01,2018-01-01,Unadjusted - constant,Total institutional and governmental,4337368,4337368
2017-12-01,2017-01-01,2018-01-01,Unadjusted - constant,Total residential,104613388,104613388
2017-12-01,2017-01-01,2018-01-01,Unadjusted - current,Total commercial,25231477,25231477
2017-12-01,2017-01-01,2018-01-01,Unadjusted - current,Total industrial,2292545,2292545
2017-12-01,2017-01-01,2018-01-01,Unadjusted - current,Total institutional and governmental,4686914,4686914
2017-12-01,2017-01-01,2018-01-01,Unadjusted - current,Total residential,115196659,115196659
2018-10-01,2017-11-01,2018-11-01,Seasonally adjusted - constant,Total commercial,21136646,21136646
