_comparatorDateQ,_industrialFilter,_previousQ,_previousYear,Date,Market,_valueConnector,Gross Rent (psf),Vacancy Rate
Q4 2016,1,2017-07-01,2016-10-01,2017-10-01,HRM,12.29,12.29,0.128
Q4 2016,0,2017-07-01,2016-10-01,2017-10-01,Atlantic Acres Industrial Park,,,
Q4 2016,0,2017-07-01,2016-10-01,2017-10-01,Bayers Lake,,,0.431
Q4 2016,0,2017-07-01,2016-10-01,2017-10-01,Bedford,,,
Q4 2016,0,2017-07-01,2016-10-01,2017-10-01,Burnside,12.18,12.18,0.122
Q4 2016,0,2017-07-01,2016-10-01,2017-10-01,Halifax,13.5,13.5,0.106
Q4 2016,0,2017-07-01,2016-10-01,2017-10-01,Ragged Lake Business Park,,,
Q4 2016,0,2017-07-01,2016-10-01,2017-10-01,Sackville,,,
Q1 2017,1,2017-10-01,2017-01-01,2018-01-01,HRM,12.34,12.34,0.124
Q1 2017,0,2017-10-01,2017-01-01,2018-01-01,Atlantic Acres Industrial Park,,,
Q1 2017,0,2017-10-01,2017-01-01,2018-01-01,Bayers Lake,,,0.437
Q1 2017,0,2017-10-01,2017-01-01,2018-01-01,Bedford,,,
Q1 2017,0,2017-10-01,2017-01-01,2018-01-01,Burnside,12.16,12.16,0.12
Q1 2017,0,2017-10-01,2017-01-01,2018-01-01,Halifax,13.57,13.57,0.094
Q1 2017,0,2017-10-01,2017-01-01,2018-01-01,Ragged Lake Business Park,,,
Q1 2017,0,2017-10-01,2017-01-01,2018-01-01,Sackville,,,
Q2 2017,1,2018-01-01,2017-04-01,2018-04-01,HRM,12.18,12.18,0.136
Q2 2017,0,2018-01-01,2017-04-01,2018-04-01,Atlantic Acres Industrial Park,9.83,9.83,0.189
Q2 2017,0,2018-01-01,2017-04-01,2018-04-01,Bayers Lake,13.18,13.18,0.443
Q2 2017,0,2018-01-01,2017-04-01,2018-04-01,Bedford,16.36,16.36,0.108
Q2 2017,0,2018-01-01,2017-04-01,2018-04-01,Burnside,12.05,12.05,0.138
Q2 2017,0,2018-01-01,2017-04-01,2018-04-01,Halifax,13.39,13.39,0.07
Q2 2017,0,2018-01-01,2017-04-01,2018-04-01,Ragged Lake Business Park,11.96,11.96,0
Q2 2017,0,2018-01-01,2017-04-01,2018-04-01,Sackville,12.03,12.03,0.092
Q3 2017,1,2018-04-01,2017-07-01,2018-07-01,HRM,12.43,12.43,0.116
Q3 2017,0,2018-04-01,2017-07-01,2018-07-01,Atlantic Acres Industrial Park,9.94,9.94,0
Q3 2017,0,2018-04-01,2017-07-01,2018-07-01,Bayers Lake,14.33,14.33,0.381
Q3 2017,0,2018-04-01,2017-07-01,2018-07-01,Bedford,14.33,14.33,0.083
Q3 2017,0,2018-04-01,2017-07-01,2018-07-01,Burnside,12.28,12.28,0.113
Q3 2017,0,2018-04-01,2017-07-01,2018-07-01,Halifax,13.56,13.56,0.065
Q3 2017,0,2018-04-01,2017-07-01,2018-07-01,Ragged Lake Business Park,12.55,12.55,0.482
Q3 2017,0,2018-04-01,2017-07-01,2018-07-01,Sackville,12.03,12.03,0
Q4 2017,1,2018-07-01,2017-10-01,2018-10-01,HRM,12.42,12.42,0.114
Q4 2017,0,2018-07-01,2017-10-01,2018-10-01,Atlantic Acres Industrial Park,9.94,9.94,0
Q4 2017,0,2018-07-01,2017-10-01,2018-10-01,Bayers Lake,12.55,12.55,0.365
Q4 2017,0,2018-07-01,2017-10-01,2018-10-01,Bedford,16.63,16.63,0.025
Q4 2017,0,2018-07-01,2017-10-01,2018-10-01,Burnside,12.28,12.28,0.114
Q4 2017,0,2018-07-01,2017-10-01,2018-10-01,Halifax,13.04,13.04,0.058
Q4 2017,0,2018-07-01,2017-10-01,2018-10-01,Ragged Lake Business Park,12.55,12.55,0.444
Q4 2017,0,2018-07-01,2017-10-01,2018-10-01,Sackville,12.42,12.42,0
Q1 2018,1,2018-10-01,2018-01-01,2019-01-01,HRM,12.56,12.56,0.114
Q1 2018,0,2018-10-01,2018-01-01,2019-01-01,Atlantic Acres Industrial Park,10.01,10.01,0
Q1 2018,0,2018-10-01,2018-01-01,2019-01-01,Bayers Lake,15.54,15.54,0.409
Q1 2018,0,2018-10-01,2018-01-01,2019-01-01,Bedford,20.49,20.49,0.053
Q1 2018,0,2018-10-01,2018-01-01,2019-01-01,Burnside,12.37,12.37,0.094
Q1 2018,0,2018-10-01,2018-01-01,2019-01-01,Halifax,13.01,13.01,0.042
Q1 2018,0,2018-10-01,2018-01-01,2019-01-01,Ragged Lake Business Park,12.55,12.55,0
Q1 2018,0,2018-10-01,2018-01-01,2019-01-01,Sackville,12.03,12.03,0.147
